authorId,name
143685694,M. Hochberg
2204944301,Xin Sun
2205004354,Shijie Zhao
1777528,H. Larochelle
50774203,D. Englund
1973666,M. Soljačić
9576855,Xingjun Ma
1753845931,Hanxun Huang
1919541,Yisen Wang
9035741,Simone Romano
144757691,S. Erfani
145148600,J. Bailey
145771261,A. Wilson
7991830,Pavel Izmailov
8806826,Arsenii Ashukha
1492181289,Alexander Lyzhov
8796171,Dmitry Molchanov
2492721,D. Vetrov
145441238,J. A. van der Laak
145959882,G. Litjens
143613202,F. Ciompi
2000280123,P. Chlap
50206748,Hang Min
2113746583,Nym Vandenberg
36542656,J. Dowling
2069380956,L. Holloway
2082362451,A. Haworth
1739543667,Jun Liu
1741555366,Xuewei Wang
3224619,Guansong Pang
12459603,Chunhua Shen
2148761004,Longbing Cao
5546141,Anton van den Hengel
46521834,Xiangbin Liu
2150598816,Liping Song
2108592735,Shuai Liu
2145057023,Yudong Zhang
2107969273,Lili Li
1410322434,Shujuan Zhang
2152593790,Bin Wang
2088594752,Damien Dablain
144539424,N. Chawla
150064574,Connor Shorten
1725285,T. Khoshgoftaar
1749988,B. Furht
2090358286,Xing Su
2057237074,Shan Xue
20893416,Fanzhen Liu
2142734769,Jia Wu
2118801701,Jian Yang
2110713858,Chuan Zhou
2566294,Wenbin Hu
2063030251,Cécile Paris
1681657,S. Nepal
1860892,Di Jin
1713128,Quan Z. Sheng
152297693,Philip S. Yu
2171591,Gaurav Menghani
49144737,Qingqiang Sun
145619185,Zhiqiang Ge
26340124,Nour Eldeen M. Khalifa
2123240520,Mohamed Loey
2311069735,S. Mirjalili
151418104,Lucas von Chamier
5345848,Romain F. Laine
1601314593,Johanna Jukkala
6638274,Christoph Spahn
2007325129,Daniel Krentzel
83219544,Elias Nehme
12178401,Martina Lerche
1617273833,Sara Hernández-Pérez
50429153,P. Mattila
1601319034,Eleni Karinou
3051485,S. Holden
1582837742,A. Solak
2903785,Alexander Krull
32290934,T. Buchholz
2111035872,Martin L. Jones
32325930,Loic A. Royer
5815574,Christophe Leterrier
2815473,Y. Shechtman
1773294,Florian Jug
4193803,M. Heilemann
3726558,Guillaume Jacquemet
145601694,Ricardo Henriques
2052425763,Thorsten Falk
39128155,Dominic Mai
2267333,R. Bensch
3422575,Özgün Çiçek
145080076,A. Abdulkadir
3169630,Yassine Marrakchi
22332107,Anton Böhm
52210437,Jan Deubner
8922785,Zoe Jäckel
52215920,Katharina Seiwald
48294424,A. Dovzhenko
4204996,O. Tietz
47581908,C. Dal Bosco
2066763529,Sean Walsh
3203227,Deniz Saltukoglu
4288979,Tuan Leng Tay
2065840399,M. Prinz
1845704,K. Palme
2066087500,M. Simons
3002964,Ilka Diester
1710872,T. Brox
1737326,O. Ronneberger
2116066317,Shutao Li
145273596,Weiwei Song
38140728,Leyuan Fang
2597809,Yushi Chen
2370080,Pedram Ghamisi
1682001,J. Benediktsson
50081327,Lei Zhang
1717480,Shuai Wang
145321667,B. Liu
2110750577,Ze Hu
2051262183,Yiqi Zhao
4631130,Matloob Khushi
48835340,Chigozie Nwankpa
2793317,W. Ijomah
