authorId,paperId
34917892,f63e917638553414526a0cc8550de4ad2d83fe7a
2465270,f63e917638553414526a0cc8550de4ad2d83fe7a
3308557,f63e917638553414526a0cc8550de4ad2d83fe7a
145845739,a6ffce203cb7e587a5f4d36ca7442a7b26c65b07
3462562,a6ffce203cb7e587a5f4d36ca7442a7b26c65b07
2149373363,e02f91d625cd32290d4ede0f31284da115844316
32526075,e02f91d625cd32290d4ede0f31284da115844316
14838210,e02f91d625cd32290d4ede0f31284da115844316
1720124,e02f91d625cd32290d4ede0f31284da115844316
2164604,adc61e21eafecfbf6ebecc570f9f913659a2bfb2
49943757,adc61e21eafecfbf6ebecc570f9f913659a2bfb2
48441311,adc61e21eafecfbf6ebecc570f9f913659a2bfb2
51026953,2eda2921a8da4b325f9d05f556594a5884c398a7
47260842,2eda2921a8da4b325f9d05f556594a5884c398a7
117539586,2eda2921a8da4b325f9d05f556594a5884c398a7
1949747,1b04936c2599e59b120f743fbb30df2eed3fd782
51919565,1b04936c2599e59b120f743fbb30df2eed3fd782
40899528,1b04936c2599e59b120f743fbb30df2eed3fd782
1804104,1b04936c2599e59b120f743fbb30df2eed3fd782
40634590,1b04936c2599e59b120f743fbb30df2eed3fd782
1731199,1b04936c2599e59b120f743fbb30df2eed3fd782
1924112,1b04936c2599e59b120f743fbb30df2eed3fd782
8324144,18056fcac6fc744b940a8d10ff36d42269006f3c
2124950899,18056fcac6fc744b940a8d10ff36d42269006f3c
40455111,18056fcac6fc744b940a8d10ff36d42269006f3c
145261912,18056fcac6fc744b940a8d10ff36d42269006f3c
3255983,340f48901f72278f6bf78a04ee5b01df208cc508
2645384,340f48901f72278f6bf78a04ee5b01df208cc508
145824029,340f48901f72278f6bf78a04ee5b01df208cc508
2228824,340f48901f72278f6bf78a04ee5b01df208cc508
144056327,340f48901f72278f6bf78a04ee5b01df208cc508
1792298,340f48901f72278f6bf78a04ee5b01df208cc508
1753223,340f48901f72278f6bf78a04ee5b01df208cc508
3137672,340f48901f72278f6bf78a04ee5b01df208cc508
145600108,340f48901f72278f6bf78a04ee5b01df208cc508
2273072,340f48901f72278f6bf78a04ee5b01df208cc508
48348688,340f48901f72278f6bf78a04ee5b01df208cc508
50388928,340f48901f72278f6bf78a04ee5b01df208cc508
49813280,340f48901f72278f6bf78a04ee5b01df208cc508
2460849,340f48901f72278f6bf78a04ee5b01df208cc508
143776287,340f48901f72278f6bf78a04ee5b01df208cc508
2106164,340f48901f72278f6bf78a04ee5b01df208cc508
1688276,340f48901f72278f6bf78a04ee5b01df208cc508
34313265,340f48901f72278f6bf78a04ee5b01df208cc508
48987704,340f48901f72278f6bf78a04ee5b01df208cc508
47570053,bd02bcf2a437217eaac245abe443b2f672b3b36a
49206685,bd02bcf2a437217eaac245abe443b2f672b3b36a
1902935998,bd02bcf2a437217eaac245abe443b2f672b3b36a
